Received message: {"pid": "user1", "score": 0}
2019-01-18 18:05:14Received message: {"pid": "user2", "score": 1}
2019-01-18 18:05:19Received message: {"pid": "user3", "score": 2}
2019-01-18 18:05:24Received message: {"pid": "user4", "score": 3}
2019-01-18 18:05:29Received message: {"pid": "user5", "score": 4}
2019-01-18 18:05:34Received message: {"pid": "user6", "score": 5}
2019-01-18 18:05:39Received message: {"pid": "user7", "score": 6}
2019-01-18 18:05:44Received message: {"pid": "user8", "score": 7}
2019-01-18 18:05:49Received message: {"pid": "user9", "score": 8}
2019-01-18 18:05:54Received message: {"pid": "user10", "score": 9}
2019-01-18 18:05:59Received message: {"pid": "user11", "score": 10}
2019-01-18 18:06:04Received message: {"pid": "user12", "score": 11}
2019-01-18 18:06:09Received message: {"pid": "user13", "score": 12}
2019-01-18 18:06:14Received message: {"pid": "user14", "score": 13}
2019-01-18 18:06:19Received message: {"pid": "user15", "score": 14}
2019-01-18 18:06:24Received message: {"pid": "user16", "score": 15}
2019-01-18 18:06:29Received message: {"pid": "user3", "score": 2}
2019-01-18 18:38:14Received message: {"pid": "user4", "score": 3}
2019-01-18 18:38:19Received message: {"pid": "user11", "score": 10}
2019-01-18 18:38:24Received message: {"pid": "user17", "score": 16}
2019-01-18 18:38:29Received message: {"pid": "user21", "score": 20}
2019-01-18 18:38:34Received message: {"pid": "user22", "score": 21}
2019-01-18 18:38:39Received message: {"pid": "user24", "score": 23}
2019-01-18 18:38:44Received message: {"pid": "user27", "score": 26}
2019-01-18 18:38:49Received message: {"pid": "user32", "score": 31}
2019-01-18 18:38:54Received message: {"pid": "user36", "score": 35}
2019-01-18 18:38:59Received message: {"pid": "user37", "score": 36}
2019-01-18 18:39:04Received message: {"pid": "user38", "score": 37}
2019-01-18 18:39:09Received message: {"pid": "user40", "score": 39}
2019-01-18 18:39:14Received message: {"pid": "user43", "score": 42}
2019-01-18 18:39:19Received message: {"pid": "user48", "score": 47}
2019-01-18 18:39:24Received message: {"pid": "user50", "score": 49}
2019-01-18 18:39:29Received message: {"pid": "user51", "score": 50}
2019-01-18 18:39:34Received message: {"pid": "user54", "score": 53}
2019-01-18 18:39:39Received message: {"pid": "user57", "score": 56}
2019-01-18 18:39:44Received message: {"pid": "user3", "score": 2}
2019-01-18 18:40:12Received message: {"pid": "user4", "score": 3}
2019-01-18 18:40:17Received message: {"pid": "user53", "score": 52}
2019-01-18 18:40:22Received message: {"pid": "user59", "score": 58}
2019-01-18 18:40:27Received message: {"pid": "user5", "score": 4}
2019-01-18 18:40:32Received message: {"pid": "user6", "score": 5}
2019-01-18 18:40:37Received message: {"pid": "user7", "score": 6}
2019-01-18 18:40:42Received message: {"pid": "user9", "score": 8}
2019-01-18 18:40:47Received message: {"pid": "user11", "score": 10}
2019-01-18 18:40:52Received message: {"pid": "user12", "score": 11}
2019-01-18 18:40:57Received message: {"pid": "user16", "score": 15}
2019-01-18 18:41:02Received message: {"pid": "user17", "score": 16}
2019-01-18 18:41:07Received message: {"pid": "user21", "score": 20}
2019-01-18 18:41:12Received message: {"pid": "user22", "score": 21}
2019-01-18 18:41:17Received message: {"pid": "user23", "score": 22}
2019-01-18 18:41:22Received message: {"pid": "user24", "score": 23}
2019-01-18 18:41:27Received message: {"pid": "user25", "score": 24}
2019-01-18 18:41:32Received message: {"pid": "user26", "score": 25}
2019-01-18 18:41:37Received message: {"pid": "user27", "score": 26}
2019-01-18 18:41:42Received message: {"pid": "user32", "score": 31}
2019-01-18 18:41:47Received message: {"pid": "user33", "score": 32}
2019-01-18 18:41:52Received message: {"pid": "user34", "score": 33}
2019-01-18 18:41:57Received message: {"pid": "user36", "score": 35}
2019-01-18 18:42:02Received message: {"pid": "user37", "score": 36}
2019-01-18 18:42:07Received message: {"pid": "user38", "score": 37}
2019-01-18 18:42:12Received message: {"pid": "user40", "score": 39}
2019-01-18 18:42:17Received message: {"pid": "user42", "score": 41}
2019-01-18 18:42:22Received message: {"pid": "user43", "score": 42}
2019-01-18 18:42:27Received message: {"pid": "user48", "score": 47}
2019-01-18 18:42:32Received message: {"pid": "user50", "score": 49}
2019-01-18 18:42:37Received message: {"pid": "user51", "score": 50}
2019-01-18 18:42:42Received message: {"pid": "user53", "score": 52}
2019-01-18 18:42:47Received message: {"pid": "user54", "score": 53}
2019-01-18 18:42:52Received message: {"pid": "user57", "score": 56}
2019-01-18 18:42:57Received message: {"pid": "user59", "score": 58}
2019-01-18 18:43:02Received message: {"pid": "user64", "score": 63}
2019-01-18 18:43:07Received message: {"pid": "user65", "score": 64}
2019-01-18 18:43:12Received message: {"pid": "user67", "score": 66}
2019-01-18 18:43:17Received message: {"pid": "user70", "score": 69}
2019-01-18 18:43:22Received message: {"pid": "user71", "score": 70}
2019-01-18 18:43:27Received message: {"pid": "user73", "score": 72}
2019-01-18 18:43:32Received message: {"pid": "user76", "score": 75}
2019-01-18 18:43:37Received message: {"pid": "user77", "score": 76}
2019-01-18 18:43:42Received message: {"pid": "user78", "score": 77}
2019-01-18 18:43:47Received message: {"pid": "user79", "score": 78}
2019-01-18 18:43:52Received message: {"pid": "user81", "score": 80}
2019-01-18 18:43:57Received message: {"pid": "user85", "score": 84}
2019-01-18 18:44:02Received message: {"pid": "user86", "score": 85}
2019-01-18 18:44:07Received message: {"pid": "user87", "score": 86}
2019-01-18 18:44:12Received message: {"pid": "user88", "score": 87}
2019-01-18 18:44:17Received message: {"pid": "user89", "score": 88}
2019-01-18 18:44:22Received message: {"pid": "user90", "score": 89}
2019-01-18 18:44:27Received message: {"pid": "user93", "score": 92}
2019-01-18 18:44:32Received message: {"pid": "user94", "score": 93}
2019-01-18 18:44:37Received message: {"pid": "user95", "score": 94}
2019-01-18 18:44:42Received message: {"pid": "user97", "score": 96}
2019-01-18 18:44:47Received message: {"pid": "user99", "score": 98}
2019-01-18 18:44:52Received message: {"pid": "user100", "score": 99}
2019-01-18 18:44:57Received message: {"pid": "user104", "score": 103}
2019-01-18 18:45:02Received message: {"pid": "user105", "score": 104}
2019-01-18 18:45:07Received message: {"pid": "user106", "score": 105}
2019-01-18 18:45:12Received message: {"pid": "user107", "score": 106}
